#This dataset contains all Airdisasters from the past 20 years;;;;;;;;;;;;;;;;;
date;type;registration;operator;location;first_flight;crew;passengers;aircraft_damage;phase;nature;departure_airport;destination_airport;narrative;time;airplane_type;airline;accident_date
2-apr-00;Boeing 747-2F6B;N534MC;Atlas Air;Guayaquil;1979-12-14  (20 years 4 months);Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 0;Substantial;Unknown (UNK);Cargo;Guayaquil-Simon Bolivar Airport (GYE/SEGU), Ecuador;Miami International Airport, FL (MIA/KMIA), United States of America;"An Atlas Air Boeing 747 (N534MC) suffered an uncontained No. 1 engine failure while climbing through 400 feet after takeoff. The aircraft leveled at 817 feet and the crew declared an emergency. Fuel was dumped and the plane returned to Guayaquil.
 When returning, the no. 1 engine turbine part was lost over Guayaquil. The aircraft landed safely. The Boeing freighter was on a flight for Lan Chile on the route Santiago de Chile-Guayaquil-Miami. Investigation revealed an airduct failure in the area of the 7th stiffener. The airduct machined into the fan mid-shaft, which separated resulting in the uncontained failure of the engine.";null;Boeing 747-2F6B;Atlas Air;Sunday 2 April 2000
25-jan-08;Boeing 727-247;9L-LEF;Teebah Airlines, op.for Canadian Airways Congo;Pointe Noire...;1978-04-24  (29 years 9 months);Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Substantial;Standing (STD);-;-;-;The brakes on an An-12 failed as it taxied to the apron at Pointe Noire Airport (PNR). It could not be stopped and ran into a parked Boeing 727 (9L-LEF). Both aircraft sustained considerable damage.;null;Boeing 727-247;null;Friday 25 January 2008
6-feb-10;Bombardier  Global Express;N400GX;Churchill Aviation;Washington-D...;1999;Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Standing (STD);-;-;-;"Heavy snowfall in the Washington region caused hangars of the Dulles Jet Center (DJC) at Washington-Dulles International Airport, DC (IAD) to collapse. The roofs of hangars A, B, and C came down, crumpling under the weight of nearly two feet of snow. Hangar D was damaged, but all four planes inside were safe.
The 15 aircraft in Hangars A, B and C sustained various levels of damage.
Aircraft that are reported to have been inside the hangars were:

N400GX Global Express (9037) of Churchill Aviation [cancelled from U.S. register 15 June 2010]
N62YC Falcon 2000EX (119) of Vesey Air LLC [cancelled from U.S. register 20 May 2010]
N106RW Falcon 900EX (120) of MMRB Services [cancelled from U.S. register 28 Sept. 2010]
N800LA Hawker 800XP (258679) of BAE Survivability Systems LLC [cancelled from U.S. register 15 Nov 2010]
N109CP Beechjet 400A (RK-47) of THV Seminars LLC [sold 10 Dec. 2010 to be parted out]
N708FX Cessna 208B Super Cargomaster of FedEx [cancelled from U.S. register 13 Dec 2010]
N620K Global Express (9052) of Eastman Kodak [sold by Global Aerospace Insurance as salvage in January 2011]
N528JR Global XRS (9177) of Joluk Air [sold to Davis SR Aviation LLC for scrap in March 2013; broken up by April 2013]
N52AP Gulfstream GIV (1476) Computer Sciences Corp.
N89MX Global XRS (9304) of '821 393 LLC'
N585JC Gulfstream GV (618) Hilton Hotels
N180EG Hawker 800A (258188) of Monroe LLC 
N767DT Gulfstream G450 (4065) of MIC Industries LLC 
N4009 Learjet 45 (304) of Red Zone LLC 
unknown Cessna 414";08:00;Bombardier BD-700-1A10 Global Express;Churchill Aviation;Saturday 6 February 2010
01-MAY-2001;DC-9-31;N9333;Northwest Airlines;Minneapolis-...;1968;Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 38;Substantial;Standing (STD);Domestic Scheduled Passenger;Minneapolis-St. Paul International Airport, MN (MSP/KMSP), United States of America;Philadelphia International Airport, PA (PHL/KPHL), United States of America;"The DC-9-31, N9333, operated by Northwest Airlines as flight NW682, was substantially damaged when it was struck by an aircraft tug during passenger boarding. The flight was parked at gate D3 at the Minneapolis-St. Paul International/Wold-Chamberlain Airport, Minnesota and was bound for the Philadelphia International Airport, Pennsylvania. No injuries were reported. The driver of the tug and a food service worker received minor injuries.
The aircraft was parked and was being prepared for departure by various ground workers including the tug driver and workers restocking the aircraft food supply. The driver of the tug said that he was moving the vehicle into position in order to connect the aircraft tow bar in preparation for pushback. He said that when he placed the tug into gear, it lurched forward into the parked aircraft. He said that pieces of the aircraft protruded through the windshield of the vehicle and pinned him into his seat. He said that he was unable to shift the vehicle into reverse and his leg was pinned on the accelerator pedal. Other ground workers in the area attempted to shut off the tug's engine. The driver said that the vehicle continued to drive forward until the engine was finally shut off. During the event, the pilot of the aircraft had applied the brakes when he noticed the unplanned movement of the airplane. The aircraft was pushed backward about 30 feet causing damage to the nose section of the fuselage. A food service worker was injured when he jumped from his vehicle which was parked next to the aircraft.

Subsequent to the accident, the tug was placed on jacks and a check performed. During the check it was found that the normal engine shutoff switch would not shut the engine off if the engine was operated at high throttle settings. It was further discovered that at high throttle settings, the brake system was not able to stop the rotation of the drive wheels. No anomalies were found during this test that would explain the lurching described by the tug driver. Subsequent to the testing, the throttle system of the tug was replaced as a precautionary measure by the airline.
During the course of the investigation, it was found that the tug had been involved in a previous incident where an aircraft was damaged. A report of the previous incident was obtained. The driver of the tug during the previous incident reported that the tug lurched when he was attempting to move the tug into position to connect to the aircraft.";14:37;McDonnell Douglas DC-9-31;Northwest Airlines;Tuesday 1 May 2001
2-jan-15;Saab 340B;G-LGNL;Loganair, op.for Flybe;Stornoway Ai...;1991-04-23  (23 years 9 months);Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 26;Substantial;Takeoff (TOF);Domestic Scheduled Passenger;Stornoway Airport (SYY/EGPO), United Kingdom;Glasgow International Airport (GLA/EGPF), United Kingdom;"A Saab 340B, performing flight BE6821 from Stornoway Airport (SYY) to Glasgow (GLA) suffered a runway excursion upon takeoff. 
At 08:32 hrs G-LGNL was cleared to enter runway 18 at Stornoway Airport and take off, and the ATC controller transmitted that the surface wind was from 270° at 27 kt. The commander commented to the co-pilot that the wind was across the runway and that there was no tailwind. As the aircraft taxied onto the runway, the co-pilot applied almost full right aileron input consistent with a cross-wind from the right, and the commander said to the co-pilot ""charlie , one hundred, strong wind from the right"". The commander advanced the power levers, the co-pilot said ""autocoarsen high"" and the engine torques increased symmetrically. The commander instructed the co-pilot to ""set takeoff power"" to which the co-pilot replied ""apr armed"". Approximately one second after this call, the engine torques began to increase symmetrically, reaching 100% as the aircraft accelerated through 70 kt.
During the early stages of the takeoff, left rudder was applied and the aircraft maintained an approximately constant heading. As the aircraft continued accelerating, the rudder was centralised, after which there was a small heading change to the left, then to the right, then a rapid heading change to the left causing the aircraft to deviate to the left of the runway centreline.
The pilot applied right rudder but although the aircraft changed heading to the right in response, it did not alter the aircraft’s track significantly and the aircraft skidded to the left, departing the runway surface onto the grass at an IAS of 80 kt. The power levers remained at full power as the aircraft crossed a disused runway and back onto grass. During this period the nose landing gear collapsed before the aircraft came to a halt approximately 38 m left of the edge of the runway and 250 m from where it first left the paved surface.
After the aircraft came to a halt, the captain saw that the propellers were still turning and so called into the cabin for the passengers to remain seated. One of the passengers shouted for someone to open the emergency exit but the cabin crew member instructed the passengers not to do so because the propellers were still turning. The co-pilot observed that the right propeller was still turning so operated the engine fire extinguishers to shut down both engines. When the passenger seated in the emergency exit row on the right of the aircraft saw that the right propeller had stopped, he decided to open the exit. He climbed out onto the wing and helped the remaining passengers leave the aircraft through the same exit, instructing them to slide off the rear of the wing onto the ground. The left propeller was still turning at the time the right over-wing exit was opened and the passenger seated in the left-side emergency exit row decided not to open the left exit.

The technique for controlling the direction of the aircraft on the runway is to use rudder assisted by nose wheel steering (NWS) at low speeds because the rudder has reduced effectiveness below 40 kt.
When rudder is used, the requirement for NWS to assist directional control will reduce progressively as speed increases above 40 kt and rudder effectiveness increases. It is likely that no assistance will be required by 60 kt and, therefore, there will be no step-change in NWS directional effect when the pilot releases the steering control. During this attempted takeoff, rudder was approximately neutral from 40 kt, the point at which it would have become effective, and directional control was probably maintained through NWS alone (asymmetric thrust or differential braking having been discounted). If rudder had been applied, there would have been a reduced NWS requirement at any given speed and therefore there would have been a reduced likelihood of a change directional effect when the NWS control was released. The lack of data showing NWS commands meant that these considerations could not be verified.";08:33;Saab 340B;null;Friday 2 January 2015
31-MAR-1998;BAe-748;G-OJEM;Emerald Airways;London-Stans...;1982-04-01  (16 years );Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 40;Damaged beyond repair;Takeoff (TOF);Domestic Non Scheduled Passenger;London-Stansted Airport (STN/EGSS), United Kingdom;Leeds/Bradford Airport (LBA/EGNM), United Kingdom;"The HS-748 was cleared for a runway 23 takeoff at 23:29. The first officer was the handling pilot and the takeoff was to be made with full dry power; the water methanol system was selected to standby. At an airspeed of 111 kt the Commander called 'vee one, rotate', the first officer moved the control column rearwards and the aircraft became airborne. Less than five seconds after the 'rotate' call, at an airspeed of 115 kt and a height of between 30 feet and 100 feet agl, the no. 2 engine suffered a catastrophic failure resulting in a sudden loss of power and an immediate substantial nacelle fire. The aircraft yawed 11deg to the right of the runway heading. The Commander took over control and the crew were told by the senior cabin attendant that the right engine was on fire. Engine power was reduced and the aircraft yawed 14.5° to the left of runway heading. Four seconds later, the sound of the engine fire warning bell was recorded. The aircraft was in the air for a total period of 27 seconds before it touched down. 
The aircraft ran off the end of the runway at 62 kt., crossed the perimeter track and came to rest with the collapse of the nose landing gear.";00:31;British Aerospace BAe-748-378 Srs. 2B;Emerald Airways;Tuesday 31 March 1998
18-MAY-2011;Boeing 707-321B;N707AR;Omega Air Refueling;Port Hueneme...;1969;Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 0;Destroyed;Takeoff (TOF);Military;Port Hueneme-Point Mugu NAS, CA (NTD/KNTD), United States of America;Port Hueneme-Point Mugu NAS, CA (NTD/KNTD), United States of America;"A Boeing 707-321B aerial tanker plane, registered N707AR, was destroyed when it suffered a runway excursion accident on takeoff from Port Hueneme-Point Mugu NAS, CA (NTD). There were three crew members on board and all escaped unhurt. 
The flight crew indicated that they delayed their takeoff due to high wind conditions. Once the winds were within limits, they reported that startup was normal. Prior to takeoff, they decided to add 5 knots to their rotation speed, and power up slowly and as smoothly as possible.
The captain was the flying pilot. The first officer called critical engine failure recognition speed (V1) reference speed at 141 knots, and rotation speed (Vr) at 150 knots. The captain rotated the airplane, and it then lifted off about 7,000 feet down the 11,000-foot runway. About 20 feet above ground level (agl), the number two engine (left inboard) throttle lever slammed back to the idle position. The No. 2 engine pylon had separated from the left wing. The No. 2 engine nacelle and pylon assembly struck the No. 1 engine nacelle, causing the No. 1 engine inlet cowl to separate, which degraded the engine’s ability to produce thrust and resulted in a significant loss of thrust on the left side of the airplane.
The flight crew reported that the airplane began to drift to the left and descend. The captain lowered the pitch slightly and leveled the wings just prior to the airplane contacting the runway. He informed the other crew members that they were going to put it back down. He placed the throttle levers in the idle position, and activated the speed brakes. The airplane departed the left side of the runway surface; the crew reported a couple of impacts and then one final violent impact prior to the airplane coming to rest in a wetland marsh.
The flight crew had to force the cockpit door open due to debris that had piled up against it. They noted significant damage from the forward galley aft, and a large fire in the vicinity of the left wing. They opened the left main cabin door, and deployed the slide. They exited into the mud, and made it to dry land and away from the burning wreckage.
Investigators examined the wreckage at the accident site. The observed debris field extended 4,120 feet on a heading of 218 degrees. The first pieces of wreckage found along the debris path were fragments of the number two (left inboard) engine pylon; they were just past taxiway Alpha 2, about 7,500 feet from the beginning of runway 21. The number one engine (left outboard) nose cowl was about 450 feet further into the debris field and left of the runway surface in the grass infield.
The number two engine nose cowl was near the runway arresting gear on the left side of the runway at the 8,500 foot point. The number two engine was about 230 feet further, and on the left side of the runway surface.
The airplane departed the asphalt surface near taxiway Alpha 1, which was 9,500 feet from the departure end of the runway. Ground scars continued through the grass infield to taxiway Alpha at the end of the runway. The number one engine was in the grass infield near taxiway Alpha.
The main wreckage came to rest in a wetland marsh left of the runway overrun, and caught fire. Fire consumed the top of the cabin and the cockpit. The main wreckage consisted of the cockpit, cabin, right wing with the number three (right inboard) engine partially attached, empennage, and the inboard half of the left wing, which sustained thermal damage and was under water. Scattered debris aft of the main wreckage included the nose gear, remnants of the burned outboard left wing, right main landing gear truck, and number four (right outboard) engine.
A visual examination of a fracture surface on the number two engine pylon inboard mid-spar support fitting determined that it was flat and discolored with an arcing terminus.
The aircraft was registered and operated by Omega Air Inc., an air refueling contractor that uses specially-equipped and converted civilian airplanes to serve as air refueling platforms for the military. The flight was conducted under the provisions of a contract between Omega and the US Naval Air Systems Command (NAVAIR) to provide aerial refueling of Navy F/A-18s in offshore warning area airspace.";17:27;Boeing 707-321B;Omega Air Refueling;Wednesday 18 May 2011
15-jan-04;Boeing 747SP-86;EP-IAC;Iran Air;Beijing-Capi...;1977-05-16  (26 years 8 months);Fatalities: 0 / Occupants: 26;Fatalities: 0 / Occupants: 154;Substantial;Landing (LDG);International Scheduled Passenger;Beijing-Capital Airport (PEK/ZBAA), China;Tokyo-Narita Airport (NRT/RJAA), Japan;"Suffered problems with the hydraulic system shortly after departing Beijing (PEK). The plane returned to land, during which the nose gear collapsed. 
The airplane remained at Beijing for a few months, being prepared for a ferry flight back to Tehran. On June 1, 2004 the airplane was finally ferried back to Tehran where it was withdrawn from service. Some parts were stripped and the airplane was then moved for display at the Teheran AeroSpace Exhibition. In 2009 the airplane received overhaul to be restored in flying condition.";09:33;Boeing 747SP-86;Iran Air;Thursday 15 January 2004
6-apr-16;Raytheon U-125 (Hawker 800);49-3043;JASDF;near Kanoya Air Base;1993;Fatalities: 6 / Occupants: 6;Fatalities: 0 / Occupants: 0;Destroyed;En route (ENR);Military;Kanoya Air Base (RJFY), Japan;Kanoya Air Base (RJFY), Japan;"A British Aerospace U-125 of the Japan Air Self-Defence Force was destroyed in an accident in mountainous terrain near Kanoya Air Base, Japan with 6 persons on board. The aircraft was attached to the Hiko Tenkentai Flight Check Squadron based at Iruma Air Base. The accident plane took off from Iruma at 08:49 for a check flight to Kanoya Air Base, and after planned check at Kanoya in the morning, it landed at Kanoya at 12:06.  After refueling, the plane took off at 13:15, and performed the remaining check of the JAT TACAN.  At 14:31, the plane began the 'alignment orbit check' following a low pass over runway 08R.  In this check, the plane lost radar contact while flying an anti-clock-wise 6nm arc with an altitude of 3000 feet after climbing from 2500 feet. 
The wreckage was found by a search party of Japan Grand Self-Defense Force on 7th April on Ontake peak of Mt. Takakuma, which has an elevation of 1182m (3875 feet).

At the time of the accident, the captain acted as Pilot Not Flying and F/O was Pilot Flying. A GPWS warning sounded 12 seconds before the crash, however, the warning was switched off 2 seconds before the crash without any avoidance maneuvers.";14:35;Raytheon U-125 (Hawker 800);Japan Air Self-Defense Force - JASDF;Wednesday 6 April 2016
05-MAY-2018;Embraer KC-390;PT-ZNF;Embraer;Gavião Peixo...;2015-02-03  (3 years 3 months);Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Substantial;Landing (LDG);Test;Gavião Peixoto-Embraer Unidade Airport, SP (SBGP), Brazil;Gavião Peixoto-Embraer Unidade Airport, SP (SBGP), Brazil;"The Embraer KC-390 aircraft prototype suffered a runway excursion accident during a ground test at Gavião Peixoto Airport, Brazil.
Video footage shows the aircraft having traveled about 260 m past the end of runway 20.
Gavião Peixoto Airport is a owned and operated by Embraer and used as for flight testing. The single runway 02/20 has a declared length of 3000 m. At the end of runway 20 there is a paved 1967 m extension.
Embraer reported that extensive damage was identified on each of the three landing gear of the aircraft, as well as damage to the structure of the fuselage.
 
This same aircraft suffered an incident on Oct. 17, 2017 when it had an uncommanded extremely rapid descent of 4500 ft/min from 20000 ft to 3100 ft.

Despite the fact that the aircraft sustained significant damage, CENIPA classified the event as an ""Incident"" and on August 5, 2018, reported that closed the investigation with no final report being issued.";11:10;Embraer KC-390;Embraer;Saturday 5 May 2018
??-MAR-2003;Hawker Siddeley HS-780 Andover C.1;3C-KKB;748 Air Services;Rumbek;1966;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Damaged beyond repair;Landing (LDG);Cargo;?;?;Crash-landed at Rumbek after suffering a catastrophic engine failure while delivering relief supplies.;null;Hawker Siddeley HS-780 Andover C.1;748 Air Services;xx MAR 2003
7-feb-03;Airbus A310-304;TC-JDA;THY;Istanbul-Ata...;1989-02-20  (14 years);Fatalities: 0 / Occupants: 7;Fatalities: 0 / Occupants: 222;None;Standing (STD);Domestic Scheduled Passenger;Ankara-Esenboga Airport (ESB/LTAC), Turkey;Istanbul-Atatürk International Airport (IST/LTBA), Turkey;The hijacker took two flight attendants hostage after the plane from Ankara landed in Istanbul. He told them he had explosives and asked to be flown to Russia to see his girlfriend. 1 hijacker demanded to be taken to Moscow. Plane stormed/hijacker arrested.;null;Airbus A310-304;THY Turkish Airlines;Friday 7 February 2003
16-MAY-2006;Cessna 525 CitationJet;N545TG;Interstate Warehousing;Murfreesboro...;2004;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 6;Substantial;Landing (LDG);Executive;Hampton-Newport News/Williamsburg Airport, VA (PHF/KPHF), United States of America;Murfreesboro Municipal Airport, TN (KMBT), United States of America;"A Cessna 525, N545TG, collapsed a left main landing gear on landing roll out at Murfreesboro Municipal Airport, Tennessee. Visual meteorological conditions prevailed and an instrument flight plan was filed. The airplane received substantial damage. The pilot and 6 passengers reported no injuries. The flight originated from Newport News, Virginia, at 17:15 eastern daylight time.
The pilot stated upon arrival in the Murfreesboro area he was cleared by Nashville Approach Control for a visual approach to runway 18 at Murfreesboro Municipal Airport. The pilot tuned up the Airport Terminal Information System information on the airplane radio. The winds were reported at 240-degrees at 3 knots and the runway was wet. The pilot entered the traffic pattern, completed the before landing checklist, lowered the landing gear, and approach flaps on base leg. The pilot turned the airplane on final approach, lowered the flaps to the full down position, and activated the anti skid. The pilot landed the airplane on the first one third of the runway. The pilot stated a front was approaching the airport and upon touchdown the wind had changed and heavy rains had started. The airplane started hydroplaning at midfield and there was insufficient runway remaining for the pilot to initiate a go-around. The airplane went off the runway sideways, collapsed the left main landing gear, and came to a complete stop. The pilot completed the engine shutdown and he and the 6 passengers exited the airplane. After exiting the airplane the pilot stated he observed the left flap had separated from the airframe and there was structural damage to the left wing.";18:15;Cessna 525 CitationJet;Interstate Warehousing Inc.;Tuesday 16 May 2006
1-feb-08;Rockwell Sabreliner 40A;N430MP;ABA Aviation Resources;Fort Lauderd...;1973;Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Standing (STD);-;-;-;"The Sabreliner 40A N430MP was damaged beyond repair after being struck by another Sabreliner jet (N3RP, msn 380-42) that suffered a hydraulic system failure during taxy at Fort Lauderdale-Executive Airport, Florida.

Sabreliner N3RP was inactive since October 2007, due to extensive maintenance to repair corrosion. The pilot and co-pilot were assigned by the operator to move the airplane to its home base at Hernando County Airport (BKV), Brooksville, Florida.
The maintenance facility released the Sabreliner to the pilots on February 1. The Sabreliner was located on the maintenance facility ramp in the northwest corner of Fort Lauderdale-Executive Airport. The pilot and copilot boarded the airplane, started the APU, and started both engines.
About 15:40, the Sabreliner began to taxi out, and contacted the FXE ATCT ground controller to coordinate maneuvering around a Cessna Caravan that was headed in the opposite direction on the same ramp. The ground controller replied ""...don't have you in sight if you guys are in the foxtrot one ramp that is uncontrolled."" The accident crew responded that they were aware of that, but that they wanted to ""get out of the way"" of the Caravan. Ground control then asked for the accident crew's intentions, and at 15:42:04, the accident crew replied ""taxi out for departure and I'll get the clearance as soon as I get clear of the Caravan."" At 15:42:50 the Caravan pilot broadcast ""mayday mayday mayday watch out watch out watch out.""
According to the pilot of the Caravan, he had deplaned his passengers and was taxiing his airplane to its parking location. Since the Sabreliner was blocking his intended path, the Caravan pilot stopped to let the Sabreliner pass. He then saw the Sabreliner coming towards him, and the left wing of the Sabreliner struck the Caravan's propeller. The Sabreliner continued moving at a speed that the Caravan pilot estimated to be 10 knots, and the right wing of the Sabreliner struck a DH-125 that was under tow by a tug. The Sabreliner continued to move forward until it struck another, stationary Sabreliner (N430MP). The Caravan pilot estimated that the accident Sabreliner had traveled 20 to 30 yards beyond the Caravan before it finally stopped.
The Sabreliner suffered damage to the left hand wing tip, no. 1 engine and right hand wing.";15:42;Rockwell Sabreliner 40A;ABA Aviation Resources Inc.;Friday 1 February 2008
10-jun-05;Hawker Siddeley HS-780 Andover C.1;5Y-SFE;748 Air Services;Lokichoggio ...;1966;Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Landing (LDG);Cargo;Natinga Airport, South Sudan;Lokichoggio Airport (LKG/HKLK), Kenya;"A 748 Air Services Hawker Siddeley Andover aircraft departed Lokichoggio Airport (LKG) at 08:40 hours for Boma, Southern Sudan. After Boma, the aircraft landed at Torit (HSTR) then Natinga, all in Southern Sudan, before proceeding back to Lokichoggio. The aircraft joined long final from the west of the airfield and was given instructions to land on runway 09. As soon as the aircraft touched down, the propellers struck the runway surface for some distance then the aircraft veered off the centerline to the left and came to a stop. The captain, the first officer and the loadmaster evacuated themselves. They were not injured. The aircraft sustained substantial damage, blocking Lokichoggio's single 1800-metre runway 09/27. 
Three other light aircraft, a Dornier 228, an Antonov 28 and a Cessna 208, landed safely at the airfield on runway 27 after the HS-748 accident. Two Antonov 12 aircraft inbound to Lokichoggio from Torit, Southern Sudan, diverted to Juba upon getting information of the runway obstruction.
Transafrik Hercules S9-BAS, flying for the United Nations World Food Programme, contacted Lokichoggio Tower at 14:30 hours. The aircraft was returning from a food air drop at Motot, Southern Sudan. The pilot was advised to divert to Eldoret International Airport but he opted to land at Lokichoggio. The Tower cleared the Hercules to land on runway 27 at the pilot’s discretion. The aircraft made a very heavy landing short of the runway and the top centre fuselage broke. The aircraft came to a stop about one kilometre from the touchdown point. Shortly before coming to a halt, the aircraft impacted the HS 748 with its right wing tip. The captain, the first officer, the flight engineer and the two loadmasters evacuated themselves safely.";13:07;Hawker Siddeley HS-780 Andover C.1;748 Air Services;Friday 10 June 2005
11-MAY-2012;Convair CV-580F SCD;N171FL;Contract Air Cargo;Guatemala Ci...;1956;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Substantial;Landing (LDG);Cargo;Miami International Airport, FL (MIA/KMIA), United States of America;Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala;"A Convair CV-580 cargo plane, N171FL, sustained substantial damage in a landing accident at Guatemala City-La Aurora Airport (GUA), Guatemala.
Flight TSU8138 had landed on runway 19 when the nosegear folded backwards. The propellers contacted the runway, causing the left hand prop to separate. Debris sliced through the fuselage of the CV-580.";12:05;Convair CV-580F SCD;Contract Air Cargo;Friday 11 May 2012
14-MAY-2003;Fokker 100;F-GNLH;Blue Line;Paris-Charle...;1990;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Substantial;Pushback / towing (PBT);Unknown;?;?;Engine power was applied while the push back tug was still connected to the airplane. The tug struck the left hand forward side of the plane, causing a one square metre hole.;null;Fokker 100;Blue Line;Wednesday 14 May 2003
31-jan-99;Boeing 727-2D6;7T-VEH;Air Algérie;Constantine-...;1974-09-27  (24 years 4 months);Fatalities: 0 / Occupants: 7;Fatalities: 0 / Occupants: 92;Damaged beyond repair;Landing (LDG);International Scheduled Passenger;Paris (unknown airport), France;Constantine-Ain el Bey Airport (CZL/DABC), Algeria;"Ran off runway and struck a mount of snow; nosegear collapsed. The aircraft is reportedly damaged beyond repair and stored at Algiers (probably ferried there??).";null;Boeing 727-2D6;Air Algérie;Sunday 31 January 1999
